tweet_id,customer_query,expected_intent,expected_auto_handle,predicted_intent,predicted_auto_handle,predicted_draft_reply,predicted_escalation_reason,brand_reply_reference,llm_tone,llm_helpfulness,llm_groundedness,llm_reasoning,human_tone,human_helpfulness,human_groundedness
523825,@241073 @AppleSupport I have that problem too. Please help,general_inquiry,True,general_inquiry,True,Sure! Could you describe the issue in a bit more detail? We'll guide you through the steps to resolve it.,,@249088 We're happy to help! Please check out the following article:  If you need to update the iOS be sure to create a backup before beginning. DM us if you have additional questions.,4.0,2.0,5.0,"The draft reply is polite and friendly, using a supportive tone, which earns a 4. However, it does not address the customer’s request for help or provide any actionable information, so it scores low on helpfulness (2). The reply contains no incorrect or fabricated policy details, so it is fully grounded (5).",5,5,3
2002218,Hey @AppleSupport please fix this whole I turning into an I️ issue because it’s SUPER ANNOYING,general_inquiry,True,app_bug_crash,True,Thanks for reaching out! This is a known iOS glitch where 'I' turns into 'I️'. Workaround: use a different keyboard or disable the I️ character. We'll track it for the next update. Let us know your iOS version for more help.,,@592045 We can definitely give you a hand with this. Send us a quick DM using the link below and we'll jump right in:,4.0,4.0,2.0,"The draft reply is polite and offers a clear workaround, which shows empathy and helpfulness. However, it introduces details (known glitch, keyboard workaround, future update tracking) that are not present in the reference reply, indicating a lack of groundedness.",5,5,1
1134140,@AppleSupport i can't reset my password for my apple id please help,account_access,True,account_access,True,"Sure! If you’re having trouble resetting your Apple ID password, try the account recovery process. Go to appleid.apple.com, click “Forgot Apple ID or password,” and follow the prompts. Let us know if you need more help.",,@387234 We'd like to help. Have you tried resetting the Apple ID through our website? Check out this article:,4.0,5.0,5.0,"The reply is friendly and polite, using a conversational tone that is appropriate for support. It directly addresses the customer’s issue by providing clear steps to reset the Apple ID password, matching the intent of the reference reply. The information given is accurate and consistent with Apple’s known account recovery process, so it does not hallucinate any policies.",5,5,5
669244,@AppleSupport why when i turn my WiFi off does it suddenly come back on?? Fix this.,connectivity,True,connectivity,True,"It sounds like Wi‑Fi is auto‑joining a network. Go to Settings > Wi‑Fi, tap the network, toggle off “Auto‑Join,” or reset network settings. Let us know your iOS version and device for more help.",,@279599 We'd love to help. Which device are you experiencing this issue on? Which version of software is being used on that device?,4.0,5.0,5.0,"The draft reply is polite and offers a clear troubleshooting step, though it starts with a presumptive statement rather than a warm greeting, so tone is solid but not exceptional. It directly addresses the customer’s issue by suggesting disabling auto‑join or resetting network settings and requests the iOS version and device, making it highly helpful. It does not introduce any new policies or claims that are absent from the reference reply, so it remains grounded.",5,5,3
2625681,@115858 the “I️” on my phone keeps turning into a super mario question mark box As seen in pic.. I️ have a 7 you need a software update..,keyboard_typing,True,keyboard_typing,True,"We’re sorry about the I️ glitch. Please update to the latest iOS via Settings > General > Software Update. If the issue persists, try a different keyboard or disable the I️ character. Let us know if you need more help!",,"@489571 Thank you for reaching out. May we ask when you started to notice this? Also, which apps are having this behavior?",4.0,4.0,2.0,"The draft is polite and empathetic, offering a clear next step (update iOS) and additional troubleshooting. It addresses the customer’s issue, so it scores well on tone and helpfulness. However, the reference reply does not mention a software update, so the draft introduces a policy not supported by the reference, making it less grounded.",5,5,1
1375800,"@AppleSupport Yep,  it was there. I fix it by restoring from a backup and running update again.",software_update,True,keyboard_typing,True,"Glad to hear the restore and update fixed the I️ glitch! If you run into any more typing quirks, let us know.",,@440258 Thank you for the update. We're glad to hear it's working properly now.  Contact us again if you need further assistance.,4.0,5.0,5.0,"The reply is friendly and acknowledges the customer’s solution, showing empathy and politeness (tone 4). It directly addresses the customer’s update and offers further assistance, matching the reference reply’s intent (helpfulness 5). It does not introduce any new policies or hallucinated information, staying consistent with the reference (groundedness 5).",5,5,5
966331,Is anyone have a problem updating to #iOS 11.0.3 🤔 @349334 @AppleSupport,software_update,True,software_update,True,"We’ve seen some hiccups with iOS 11.0.3. Make sure you have enough free space, restart your device, then try Settings > General > Software Update again. If it still fails, let us know the exact error message or code.",,@349333 This article on over-the-air updates may help:,4.0,5.0,5.0,"The draft reply is polite and offers concrete troubleshooting steps, which is helpful for the customer. It does not introduce any new policies or misinformation beyond what is typical for iOS update guidance, so it remains grounded. The tone is friendly but not overly formal, earning a 4.",5,4,1
2122589,@AppleSupport fix the auto correct bugs and the I️ bug. You know what I’m talking about!,app_bug_crash,True,keyboard_typing,True,"Thanks for reaching out! The I️ glitch and autocorrect bugs are known. Update to the latest iOS, try a different keyboard, or disable the I️ character. Let us know your iOS version and device for precise steps.",,@625313 Here’s what you can do to work around the issue until it’s fixed in a future software update:,3.0,4.0,4.0,"The draft reply is polite and acknowledges the customer, but it lacks a strong empathetic tone, so it scores a 3. It provides concrete steps (update iOS, try a different keyboard, disable the I character) and asks for device details, which directly addresses the query, earning a 4 for helpfulness. The suggestions are reasonable workarounds and do not introduce policies or claims absent from the reference reply, so it scores a 4 for groundedness.",5,4,3
932778,@115858 this iOS 11 update has trashed my brand new iphone. This is ridiculous.,software_update,False,software_update,True,"We’re sorry to hear iOS 11 is causing trouble. Back up your iPhone, then go to Settings > General > Software Update. If the issue persists, try restoring via iTunes/Finder. Let us know if you need more help.",,@341263 We'd like to work with you. What seems to be going on with your iPhone?,4.0,4.0,5.0,"The draft reply is polite and empathetic, acknowledging the customer's frustration and offering a clear, actionable solution. It directly addresses the issue by suggesting backup, checking for updates, and restoring via iTunes/Finder, which is helpful. The response stays within general troubleshooting steps and does not introduce any unsupported policies or information, keeping it grounded in the reference reply.",5,4,1
2301986,lm using lowercase L’s as l’s until @AppleSupport fixes this question mark shit😑,keyboard_typing,False,keyboard_typing,True,"We’re sorry about the lowercase L glitch. Update to the latest iOS, try a different keyboard, or disable the problematic character. Let us know your iOS version and device model so we can give you exact steps.",,"@668062 iOS 11.1.1 was recently released and it includes a fix for autocorrect issues. Be sure to back up your device prior to updating, and let us know if the issue persists afterwards. How to back up:",4.0,3.0,2.0,"The draft uses a polite, apologetic tone and offers actionable steps, earning a 4 for tone. It addresses the issue by suggesting an update and alternative keyboard options, but it lacks the specific backup instruction and version detail from the reference, so it scores a 3 for helpfulness. The reply introduces a suggestion to disable the problematic character, which is not mentioned in the reference reply, indicating a hallucination and thus a 2 for groundedness.",5,5,4
